run_key,window_hours,horizon_hours,experiment,split,macro_f1_5c,macro_precision_5c,mean_flare_recall,mean_flare_precision,usable_for_comparison,selected_as_best,source,status,interpretation
W72_H24,72,24,weighted_thresholded,test,0.3649458337420775,0.412695500738076,0.2919394051225229,0.26926730026512985,True,True,night,ok,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.365 (weighted_thresholded). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.355 (weighted_thresholded). Best-3c MX recall on test: 0.027.
W72_H72,72,72,weighted,test,0.3638020896601915,0.37089688806398335,0.3244687925341232,0.21989734396420846,True,False,night,failed,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.364 (weighted). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.386 (baseline). Best-3c MX recall on test: 0.062."
W72_H48,72,48,weighted,test,0.2969679866600627,0.2769025444856148,0.2875578413199787,0.10137716294717702,True,False,night,ok,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.297 (weighted). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.373 (weighted_thresholded). Best-3c MX recall on test: 0.120.
W48_H48,48,48,baseline,test,0.2637376994062694,0.42921899447311374,0.15950885605719148,0.2928756526799029,True,False,night,ok,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.264 (baseline). Best-5c X recall on test: 0.073. Best saved 3c test macro F1: 0.374 (weighted_thresholded). Best-3c MX recall on test: 0.086.
W24_H48,24,48,baseline,test,0.2355743943221517,0.22861245072631892,0.14130546293825336,0.0420388199357425,True,False,night,failed,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.236 (baseline). Best-5c X recall on test: 0.024. Best saved 3c test macro F1: 0.379 (baseline). Best-3c MX recall on test: 0.119."
W48_H72,48,72,baseline,test,0.2326825081760516,0.2267803910209701,0.11856502562708966,0.04135803157779828,True,False,night,ok,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.233 (baseline). Best-5c X recall on test: 0.000. Best saved 3c test macro F1: 0.383 (weighted_thresholded). Best-3c MX recall on test: 0.071.
W48_H24,48,24,weighted,test,0.2314144937184483,0.23027563290113143,0.19831830307885787,0.04078916246158648,True,False,night,failed,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.231 (weighted). Best-5c X recall on test: 0.073. Best saved 3c test macro F1: 0.350 (weighted_thresholded). Best-3c MX recall on test: 0.004."
W24_H72,24,72,weighted_thresholded,test,0.2281462422568268,0.22408832969506792,0.12771955007531396,0.03751801239042777,True,False,night,failed,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.228 (weighted_thresholded). Best-5c X recall on test: 0.000. Best saved 3c test macro F1: 0.382 (weighted_thresholded). Best-3c MX recall on test: 0.102."
W24_H24,24,24,baseline,test,0.2187998562718819,0.21446533628082803,0.07985947540739677,0.02262101447135115,True,False,notebook,ok,Notebook baseline run; only 5-class summary is available in saved metrics. Best saved 5c test macro F1: 0.219 (baseline). Best-5c X recall on test: 0.000.
