source,run_key,window_hours,horizon_hours,run_dir,status,status_minutes,status_error,has_metrics_5c,has_metrics_3c,has_metrics_all,has_error_file,has_thresholds_5c,has_thresholds_3c,5c_baseline_test_macro_f1,5c_baseline_test_weighted_f1,5c_baseline_test_quiet_recall,5c_baseline_test_B_recall,5c_baseline_test_C_recall,5c_baseline_test_M_recall,5c_baseline_test_X_recall,5c_baseline_val_macro_f1,5c_weighted_test_macro_f1,5c_weighted_test_weighted_f1,5c_weighted_test_quiet_recall,5c_weighted_test_B_recall,5c_weighted_test_C_recall,5c_weighted_test_M_recall,5c_weighted_test_X_recall,5c_weighted_val_macro_f1,5c_weighted_thresholded_test_macro_f1,5c_weighted_thresholded_test_weighted_f1,5c_weighted_thresholded_test_quiet_recall,5c_weighted_thresholded_test_B_recall,5c_weighted_thresholded_test_C_recall,5c_weighted_thresholded_test_M_recall,5c_weighted_thresholded_test_X_recall,5c_weighted_thresholded_val_macro_f1,3c_baseline_test_macro_f1,3c_baseline_test_weighted_f1,3c_baseline_test_quiet_recall,3c_baseline_test_BC_recall,3c_baseline_test_MX_recall,3c_baseline_val_macro_f1,3c_weighted_test_macro_f1,3c_weighted_test_weighted_f1,3c_weighted_test_quiet_recall,3c_weighted_test_BC_recall,3c_weighted_test_MX_recall,3c_weighted_val_macro_f1,3c_weighted_thresholded_test_macro_f1,3c_weighted_thresholded_test_weighted_f1,3c_weighted_thresholded_test_quiet_recall,3c_weighted_thresholded_test_BC_recall,3c_weighted_thresholded_test_MX_recall,3c_weighted_thresholded_val_macro_f1,has_metrics_summary,has_metrics_full,has_3c_models,has_5c_models,train_num_samples_loaded,train_X_loaded,val_X_loaded,test_X_loaded,5c_baseline_test_quiet_precision,5c_baseline_test_B_precision,5c_baseline_test_C_precision,5c_baseline_test_M_precision,5c_baseline_test_X_precision,5c_baseline_val_quiet_recall,5c_baseline_val_quiet_precision,5c_baseline_val_B_recall,5c_baseline_val_B_precision,5c_baseline_val_C_recall,5c_baseline_val_C_precision,5c_baseline_val_M_recall,5c_baseline_val_M_precision,5c_baseline_val_X_recall,5c_baseline_val_X_precision,5c_weighted_test_quiet_precision,5c_weighted_test_B_precision,5c_weighted_test_C_precision,5c_weighted_test_M_precision,5c_weighted_test_X_precision,5c_weighted_val_quiet_recall,5c_weighted_val_quiet_precision,5c_weighted_val_B_recall,5c_weighted_val_B_precision,5c_weighted_val_C_recall,5c_weighted_val_C_precision,5c_weighted_val_M_recall,5c_weighted_val_M_precision,5c_weighted_val_X_recall,5c_weighted_val_X_precision,5c_weighted_thresholded_test_quiet_precision,5c_weighted_thresholded_test_B_precision,5c_weighted_thresholded_test_C_precision,5c_weighted_thresholded_test_M_precision,5c_weighted_thresholded_test_X_precision,5c_weighted_thresholded_val_quiet_recall,5c_weighted_thresholded_val_quiet_precision,5c_weighted_thresholded_val_B_recall,5c_weighted_thresholded_val_B_precision,5c_weighted_thresholded_val_C_recall,5c_weighted_thresholded_val_C_precision,5c_weighted_thresholded_val_M_recall,5c_weighted_thresholded_val_M_precision,5c_weighted_thresholded_val_X_recall,5c_weighted_thresholded_val_X_precision
notebook,W24_H24,24,24,E:\Data science project\runs_lightgbm_notebook\W24_H24,ok,,,,,,,,,0.2187998562718819,0.9335100588135253,0.9260890412175241,0.24878167641325535,0.00835421888053467,0.06230200633579725,0.0,0.19180434103089955,0.2128675469679327,0.8993852926193584,0.8596224538722452,0.4281189083820663,0.021303258145363407,0.11826821541710665,0.0,0.20898645127629695,0.2128675469679327,0.8993852926193584,0.8596224538722452,0.4281189083820663,0.021303258145363407,0.11826821541710665,0.0,0.20898645127629695,,,,,,,,,,,,,,,,,,,True,True,True,True,162249.0,,32.0,41.0,0.9818426235187354,0.0733463838652323,0.002482929857231533,0.014654744162940884,0.0,0.9333620235507112,0.9861321250225382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852877119420301,0.06678703791694383,0.0036242183058555998,0.01361536591295891,0.0,0.8642458059106795,0.9908466819221968,0.2916666666666667,0.0004682274247491639,0.040329218106995884,0.02414387780241439,0.14507772020725387,0.06583072100313479,0.0,0.0,0.9852877119420301,0.06678703791694383,0.0036242183058555998,0.01361536591295891,0.0,0.8642458059106795,0.9908466819221968,0.2916666666666667,0.0004682274247491639,0.040329218106995884,0.02414387780241439,0.14507772020725387,0.06583072100313479,0.0,0.0
night,W24_H48,24,48,E:\Data science project\runs_lightgbm_night\20260411_124138\W24_H48,failed,113.46,Object of type ndarray is not JSON serializable,True,True,True,True,True,True,0.2355743943221517,0.8946389199127708,0.8753849915032226,0.3588858970043756,0.0852806552637918,0.0966650555824069,0.024390243902439,0.2876567823671282,0.2268525825048015,0.8685724689891229,0.8238662374735449,0.4561595422416695,0.1614068899060467,0.1715804736587723,0.0,0.2877499408142441,0.2269272382795878,0.868615773512792,0.8239429361699068,0.4563278357455402,0.1623705131293664,0.1706138231029483,0.0,0.2878051167267869,0.3789643715363778,0.8793154044868672,0.8432614203160466,0.4601167663598266,0.119431279620853,0.3540823208097714,0.3657507055156919,0.8634989314026249,0.8123470520137003,0.5449335577921846,0.1549763033175355,0.3487972500952838,0.3726049215765698,0.9199736009626972,0.925820376446789,0.1842114688921522,0.1943127962085308,0.4022684372151883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W24_H72,24,72,E:\Data science project\runs_lightgbm_night\20260411_124138\W24_H72,failed,97.38,Object of type ndarray is not JSON serializable,True,True,True,True,True,True,0.2251510458792592,0.8825701922302366,0.8737585286839799,0.3403616513135448,0.0147058823529411,0.0640362225097024,0.0,0.2234398461494207,0.2185466872131851,0.8444292456899112,0.7983380869598904,0.4546571136131013,0.0725267379679144,0.1151358344113842,0.0,0.2279837396107677,0.2281462422568268,0.88151597214158,0.8685275218029238,0.2641078130330945,0.1151403743315508,0.1316300129366106,0.0,0.2600136209130281,0.376788851396258,0.8568483358350375,0.816725905408481,0.531818439394798,0.0647941270347909,0.3686084140949541,0.3631160698223222,0.8393201878889733,0.7835578594637522,0.5880036266787556,0.0925630386211299,0.3509923115559878,0.3823496156114909,0.892414593236463,0.8854396176437831,0.345186150620502,0.1018193424832429,0.3823719809889795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W48_H24,48,24,E:\Data science project\runs_lightgbm_night\20260411_124138\W48_H24,failed,191.0,Object of type ndarray is not JSON serializable,True,True,True,True,True,True,0.2196934817595295,0.9132156366683208,0.8842625005956593,0.4120599739243807,0.0004297378599054,0.0032467532467532,0.073170731707317,0.3069905623183781,0.2314144937184483,0.891568014355303,0.8422645557726403,0.5490221642764016,0.106145251396648,0.0649350649350649,0.073170731707317,0.3484534672445686,0.2314144937184483,0.891568014355303,0.8422645557726403,0.5490221642764016,0.106145251396648,0.0649350649350649,0.073170731707317,0.3484534672445686,0.349512358996674,0.9060469884406728,0.8690453935077423,0.4660666779872078,0.0,0.3294652453027712,0.3472349570895412,0.8821777749683498,0.8245059694216057,0.5900266032716364,0.0746113989637305,0.3454641256821789,0.3503598033676536,0.9037613508922868,0.8641787050918781,0.4822550517914756,0.0041450777202072,0.3565377788120328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W48_H48,48,48,E:\Data science project\runs_lightgbm_night\20260411_124138\W48_H48,ok,149.79,,True,True,True,True,True,True,0.2637376994062694,0.8948883588868337,0.8760611456856306,0.3448215764018997,0.1320431161195492,0.088,0.073170731707317,0.4249767458083779,0.239550140975655,0.8745603476225946,0.8366819814716775,0.4036861138948194,0.0854973052425281,0.1175,0.073170731707317,0.4723779987507323,0.2522444321500267,0.9183552495645328,0.9215131669066932,0.2155025924796305,0.1019108280254777,0.0915,0.073170731707317,0.4363968381496533,0.3638048984160035,0.8801070361837682,0.8451785513749388,0.4463803499426627,0.0519353258206761,0.374738954744831,0.3600841875712791,0.8699470231334311,0.8249385741805468,0.4989087411682018,0.0955414012738853,0.3590394409601773,0.3735302753924929,0.8998396462371973,0.882076001416712,0.3727296267524877,0.0862322390984811,0.3791165256205751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W48_H72,48,72,E:\Data science project\runs_lightgbm_night\20260411_124138\W48_H72,ok,139.98,,True,True,True,True,True,True,0.2326825081760516,0.8856959369491512,0.8770916120185781,0.3432614602816106,0.0739986422267481,0.057,0.0,0.2159896741643237,0.2206418309861028,0.8501930319145721,0.8084856240153753,0.4419663337685711,0.060081466395112,0.1426666666666666,0.0,0.234905224539366,0.2313906539277624,0.8982760227173837,0.9037595492352568,0.1942689769559233,0.0845213849287169,0.1196666666666666,0.0,0.2587885238079511,0.3733975186445737,0.8632780103095231,0.8307218992907608,0.4620351164217476,0.0562315027951331,0.3462098272842281,0.3664698569862308,0.8477824492983691,0.796643520380571,0.5966285897922814,0.0657678395264715,0.4257329621907027,0.3827614537089948,0.8998752023739087,0.902246027159244,0.3073125127815595,0.0710292666885892,0.4606527338417006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W72_H24,72,24,E:\Data science project\runs_lightgbm_night\20260411_124138\W72_H24,ok,182.07,,True,True,True,True,True,True,0.2509373061306051,0.9163493489730732,0.8907368587837183,0.3585313174946004,0.0039752650176678,0.0,0.6428571428571429,0.2739309927626639,0.3604700036600577,0.892137679924787,0.8451310129057489,0.4699649028077753,0.0494699646643109,0.00542888165038,0.6428571428571429,0.3360092291111238,0.3649458337420775,0.8922692712946222,0.8453636508820752,0.4695599352051836,0.0499116607773851,0.00542888165038,0.6428571428571429,0.3499468424286226,0.3474059827266348,0.9129722864433572,0.8835288540253287,0.3739461358313817,0.0,0.3485091245260052,0.3399763831344298,0.8851205142507685,0.8320290935795691,0.4935011709601873,0.0259605399792315,0.3347618072478706,0.3553115210584294,0.931110399473247,0.9194557025855512,0.2547423887587822,0.0269989615784008,0.3573865754284162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W72_H48,72,48,E:\Data science project\runs_lightgbm_night\20260411_124138\W72_H48,ok,168.48,,True,True,True,True,True,True,0.2338774955714403,0.90513573057175,0.8936197095705607,0.3112690723049758,0.1667996807661612,0.0292307692307692,0.0,0.2186045278728628,0.2969679866600627,0.8776045204304855,0.8403226048578377,0.4028161361887082,0.0409683426443202,0.0635897435897435,0.6428571428571429,0.4556901851286088,0.2966043499767232,0.8781192130516944,0.8412871168222896,0.4041744012314936,0.0409683426443202,0.0497435897435897,0.6428571428571429,0.457493511046975,0.3672640637066861,0.8860892986075221,0.8560062449334974,0.3898862493229126,0.0768072289156626,0.3584529450676227,0.3560536677598534,0.8699386298995712,0.8234642867865614,0.4964791457092006,0.0768072289156626,0.371484595098326,0.3733573134568442,0.9143327269314,0.9091820037829884,0.2705254197941654,0.1199799196787148,0.4055399338229561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,W72_H72,72,72,E:\Data science project\runs_lightgbm_night\20260411_124138\W72_H72,failed,173.7,Object of type ndarray is not JSON serializable,True,True,True,True,True,True,0.2379844709293059,0.8913127449308333,0.8849130671529334,0.3389012756314192,0.1192771084337349,0.0502392344497607,0.0,0.2113924948674252,0.3638020896601915,0.8588231506083897,0.8220542238093429,0.4345188055118973,0.1514629948364888,0.0690362269309637,0.6428571428571429,0.4223414838184898,0.3350774730492568,0.8853643840557389,0.874121490711545,0.2799809934573632,0.2223752151462995,0.0690362269309637,0.3333333333333333,0.4317574414725091,0.3859260103258286,0.8735077881868821,0.8462687890184756,0.4829509481745003,0.0619946091644204,0.3726561986062156,0.366717696023584,0.8484319281206327,0.7991237067710114,0.564171364828605,0.0781671159029649,0.3591810296514597,0.3768378431845721,0.9271004489772182,0.9679925033874052,0.1028369863426693,0.0768194070080862,0.4033515584766272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
